,X.1,X,Chamber,Chamber_pos,FishID,sex,pop,Channel,length,mass,mass_kg,Date,Temp,Weekday,Replicate,fitSlope,r_squared,MO2_mg_hr,MO2_mg_hr_kg,fifth_perc_MO2_mg_hr,fifth_perc_MO2_mg_hr_kg,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,Sensor_Name,slope_background_avg,fitSlope_background_corrected,MO2_mg_hr_background_corrected,MO2_mg_hr_kg_backgroun_corrected,fifth_perc_MO2_mg_hr_background_corrected,fifth_perc_MO2_mg_hr_kg_background_corrected,tenth_perc_MO2_mg_hr_background_corrected,tenth_perc_MO2_mg_hr_kg_background_corrected
44,44,44,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,88,15.32069784,0.999283643,10.29256737,445.5656872,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.97503225,7.373114467,319.1824445,6.577398484,284.7358651,6.609389416,286.1207539
45,45,45,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,90,14.59170455,0.998511394,9.802823847,424.3646687,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.24603896,6.883370939,297.981426,6.577398484,284.7358651,6.609389416,286.1207539
46,46,46,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,92,14.13534493,0.998606292,9.496237809,411.0925458,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.789679344,6.576784901,284.7093031,6.577398484,284.7358651,6.609389416,286.1207539
47,47,47,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,94,14.63553163,0.998553194,9.832267231,425.6392741,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.28986604,6.912814323,299.2560313,6.577398484,284.7358651,6.609389416,286.1207539
48,48,48,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,96,14.1940363,0.999299587,9.535667142,412.7994434,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.848370715,6.616214234,286.4162006,6.577398484,284.7358651,6.609389416,286.1207539
49,49,49,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,98,14.2987423,0.998902596,9.60600947,415.8445658,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.953076716,6.686556562,289.461323,6.577398484,284.7358651,6.609389416,286.1207539
50,50,50,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,100,14.7467209,0.998780808,9.906965077,428.8729471,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.40105531,6.987512169,302.4897043,6.577398484,284.7358651,6.609389416,286.1207539
51,51,51,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,102,14.45231291,0.998606853,9.709179434,420.310798,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.10664733,6.789726526,293.9275553,6.577398484,284.7358651,6.609389416,286.1207539
52,52,52,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,104,15.03478554,0.998134654,10.1004892,437.2506148,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.68911995,7.181036295,310.8673721,6.577398484,284.7358651,6.609389416,286.1207539
53,53,53,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,106,15.99150225,0.99923666,10.74321914,465.0744217,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.64583666,7.823766234,338.691179,6.577398484,284.7358651,6.609389416,286.1207539
54,54,54,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,108,15.35373609,0.999370249,10.31476274,446.5265255,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.00807051,7.39530983,320.1432827,6.577398484,284.7358651,6.609389416,286.1207539
55,55,55,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,110,15.52580363,0.999145811,10.43035909,451.5306964,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.18013804,7.51090618,325.1474537,6.577398484,284.7358651,6.609389416,286.1207539
56,56,56,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,112,15.32652343,0.997702546,10.29648106,445.7351106,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.98085785,7.377028148,319.3518679,6.577398484,284.7358651,6.609389416,286.1207539
57,57,57,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,114,15.63851849,0.998146346,10.50608183,454.8087371,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.2928529,7.58662892,328.4254944,6.577398484,284.7358651,6.609389416,286.1207539
58,58,58,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,116,14.63203087,0.999565603,9.829915395,425.537463,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.28636528,6.910462487,299.1542202,6.577398484,284.7358651,6.609389416,286.1207539
59,59,59,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,118,14.7011399,0.998772409,9.876343393,427.547333,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.35547431,6.956890485,301.1640903,6.577398484,284.7358651,6.609389416,286.1207539
60,60,60,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,120,14.20425575,0.999042291,9.542532644,413.0966513,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.858590157,6.623079736,286.7134085,6.577398484,284.7358651,6.609389416,286.1207539
61,61,61,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,122,14.13830373,0.999501373,9.498225553,411.1785954,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.792638142,6.578772645,284.7953526,6.577398484,284.7358651,6.609389416,286.1207539
62,62,62,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,124,14.36925345,0.995603793,9.653379422,417.8952131,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.02358786,6.733926514,291.5119703,6.577398484,284.7358651,6.609389416,286.1207539
63,63,63,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,126,13.89875142,0.997290836,9.337292391,404.2117918,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.553085827,6.417839483,277.828549,6.577398484,284.7358651,6.609389416,286.1207539
64,64,64,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,128,13.84091968,0.999526862,9.298440567,402.5298947,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.495254089,6.378987659,276.1466519,6.577398484,284.7358651,6.609389416,286.1207539
65,65,65,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,130,15.92127963,0.998234296,10.69604302,463.0321655,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,11.57561404,7.776590116,336.6489228,6.577398484,284.7358651,6.609389416,286.1207539
66,66,66,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,132,14.13572182,0.998013097,9.496491007,411.1035068,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,9.790056234,6.577038099,284.720264,6.577398484,284.7358651,6.609389416,286.1207539
67,67,67,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,134,19.52442568,0.982989274,13.11666536,567.8210115,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,15.17876009,10.19721246,441.4377687,6.577398484,284.7358651,6.609389416,286.1207539
68,68,68,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,136,16.43516593,0.997699099,11.04127595,477.9773139,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,12.08950034,8.121823043,351.5940711,6.577398484,284.7358651,6.609389416,286.1207539
69,69,69,1,a,R2G3O4,F,SOC,1,90,23.1,0.0231,5-Aug,28,Monday,138,14.68037193,0.994466122,9.862391306,426.9433466,9.496851392,411.1191079,9.528842324,412.5039967,1,4.345665589,10.33470634,6.942938398,300.5601038,6.577398484,284.7358651,6.609389416,286.1207539
70,70,70,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,3,12.85257735,0.999347825,8.784993667,516.7643334,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,9.339403576,6.383669132,375.5099489,5.073752824,298.4560485,5.201175023,305.9514719
71,71,71,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,5,13.08914077,0.998892587,8.946689501,526.275853,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,9.575967002,6.545364965,385.0214686,5.073752824,298.4560485,5.201175023,305.9514719
72,72,72,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,7,15.61513603,0.998951053,10.67325778,627.8386929,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,12.10196226,8.271933245,486.5843085,5.073752824,298.4560485,5.201175023,305.9514719
73,73,73,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,9,15.16015601,0.999407206,10.36226984,609.5452845,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.64698224,7.960945301,468.2909,5.073752824,298.4560485,5.201175023,305.9514719
74,74,74,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,11,14.69343965,0.997373175,10.04325987,590.7799925,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.18026588,7.641935337,449.5256081,5.073752824,298.4560485,5.201175023,305.9514719
75,75,75,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,13,14.92505277,0.999553551,10.20157207,600.0924747,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.411879,7.800247535,458.8380903,5.073752824,298.4560485,5.201175023,305.9514719
76,76,76,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,15,15.29661406,0.999098836,10.45554164,615.0318613,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.78344029,8.054217107,473.7774769,5.073752824,298.4560485,5.201175023,305.9514719
77,77,77,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,17,15.795233,0.997857182,10.79635766,635.0798623,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,12.28205923,8.395033124,493.8254779,5.073752824,298.4560485,5.201175023,305.9514719
78,78,78,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,19,15.32381583,0.996042393,10.4741346,616.1255646,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.81064206,8.072810063,474.8711802,5.073752824,298.4560485,5.201175023,305.9514719
79,79,79,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,21,14.77031828,0.999141625,10.09580795,593.8710558,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.25714451,7.694483414,452.6166714,5.073752824,298.4560485,5.201175023,305.9514719
80,80,80,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,23,15.54155734,0.997899177,10.62296527,624.8803102,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,12.02838357,8.221640737,483.6259257,5.073752824,298.4560485,5.201175023,305.9514719
81,81,81,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,25,16.0226724,0.99950832,10.95181704,644.2245319,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,12.50949863,8.550492507,502.9701474,5.073752824,298.4560485,5.201175023,305.9514719
82,82,82,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,27,15.2031381,0.997060795,10.39164895,611.2734678,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.68996433,7.990324418,470.0190834,5.073752824,298.4560485,5.201175023,305.9514719
83,83,83,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,29,15.21974471,0.997630886,10.40299991,611.941171,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,11.70657094,8.001675372,470.6867866,5.073752824,298.4560485,5.201175023,305.9514719
84,84,84,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,31,14.32474902,0.99846031,9.791252447,575.9560263,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,10.81157525,7.389927912,434.7016419,5.073752824,298.4560485,5.201175023,305.9514719
85,85,85,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,33,12.78166511,0.994235436,8.736523737,513.913161,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,9.268491342,6.335199202,372.6587766,5.073752824,298.4560485,5.201175023,305.9514719
86,86,86,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,35,13.13750223,0.99851847,8.979745521,528.2203248,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,9.624328455,6.578420986,386.9659403,5.073752824,298.4560485,5.201175023,305.9514719
87,87,87,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,37,11.40791247,0.996550201,7.797536331,458.6786077,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,7.8947387,5.396211796,317.4242233,5.073752824,298.4560485,5.201175023,305.9514719
88,88,88,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,39,11.78504888,0.997302901,8.055316613,473.8421537,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,8.271875113,5.653992077,332.5877693,5.073752824,298.4560485,5.201175023,305.9514719
89,89,89,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,41,11.73388569,0.999210265,8.020345543,471.785032,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,8.220711915,5.619021008,330.5306475,5.073752824,298.4560485,5.201175023,305.9514719
90,90,90,2,b,P1R2O4,F,SOC,1,83,17,0.017,5-Aug,28,Monday,43,12.47642606,0.997417902,8.52788674,501.6403965,7.475077359,439.7104329,7.602499558,447.2058564,1,3.51317377,8.963252289,6.126562205,360.3860121,5.073752824,298.4560485,5.201175023,305.9514719
